,gene,rep1,rep2,rep3,consist_num,Final_Cluster
354,A_Gene271,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
355,B_Gene262,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,1,
356,B_Gene440,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
357,B_Gene416,DTW-K1-001-DPGP002,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,1,
358,B_Gene191,DTW-K1-001-DPGP015,DTW-K1-001-DPGP019,DTW-K1-001-DPGP019,2,DTW-K1-001-DPGP019
359,A_Gene498,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP004,1,
360,B_Gene276,DTW-K1-001-DPGP010,DTW-K1-001-DPGP003,DTW-K1-001-DPGP009,1,
361,A_Gene203,DTW-K1-001-DPGP005,DTW-K1-001-DPGP001,DTW-K1-001-DPGP018,1,
362,A_Gene416,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
363,A_Gene277,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP006
364,B_Gene78,DTW-K1-001-DPGP002,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,1,
365,B_Gene10,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
366,B_Gene495,DTW-K1-001-DPGP011,DTW-K1-001-DPGP003,DTW-K1-001-DPGP001,1,
367,B_Gene423,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
368,B_Gene127,DTW-K1-001-DPGP014,DTW-K1-001-DPGP014,DTW-K1-001-DPGP013,2,DTW-K1-001-DPGP014
369,A_Gene378,DTW-K1-001-DPGP011,DTW-K1-001-DPGP004,DTW-K1-001-DPGP007,1,
370,B_Gene281,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
371,A_Gene94,DTW-K1-001-DPGP015,DTW-K1-001-DPGP017,DTW-K1-001-DPGP004,1,
372,A_Gene338,DTW-K1-001-DPGP012,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,1,
373,A_Gene280,DTW-K1-001-DPGP006,DTW-K1-001-DPGP004,DTW-K1-001-DPGP019,1,
374,A_Gene79,DTW-K1-001-DPGP019,DTW-K1-001-DPGP010,DTW-K1-001-DPGP005,1,
375,B_Gene149,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
376,A_Gene440,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
377,A_Gene344,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
378,B_Gene332,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP014,1,
379,B_Gene322,DTW-K1-001-DPGP009,DTW-K1-001-DPGP005,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
380,B_Gene214,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
381,A_Gene409,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
382,A_Gene233,DTW-K1-001-DPGP002,DTW-K1-001-DPGP006,DTW-K1-001-DPGP007,1,
383,A_Gene374,DTW-K1-001-DPGP019,DTW-K1-001-DPGP004,DTW-K1-001-DPGP003,1,
384,B_Gene94,DTW-K1-001-DPGP001,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
385,A_Gene292,DTW-K1-001-DPGP014,DTW-K1-001-DPGP014,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP014
386,B_Gene370,DTW-K1-001-DPGP018,DTW-K1-001-DPGP017,DTW-K1-001-DPGP011,1,
387,A_Gene168,DTW-K1-001-DPGP001,DTW-K1-001-DPGP013,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
388,A_Gene296,DTW-K1-001-DPGP013,DTW-K1-001-DPGP005,DTW-K1-001-DPGP012,1,
389,B_Gene147,DTW-K1-001-DPGP018,DTW-K1-001-DPGP014,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP014
390,A_Gene461,DTW-K1-001-DPGP011,DTW-K1-001-DPGP006,DTW-K1-001-DPGP014,1,
391,A_Gene124,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP001
392,B_Gene366,DTW-K1-001-DPGP007,DTW-K1-001-DPGP001,DTW-K1-001-DPGP003,1,
393,B_Gene385,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,2,DTW-K1-001-DPGP001
394,A_Gene120,DTW-K1-001-DPGP013,DTW-K1-001-DPGP001,DTW-K1-001-DPGP006,1,
395,B_Gene404,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP002,2,DTW-K1-001-DPGP001
396,A_Gene459,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
397,A_Gene144,DTW-K1-001-DPGP012,DTW-K1-001-DPGP012,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP012
398,B_Gene459,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP018,2,DTW-K1-001-DPGP001
399,B_Gene183,DTW-K1-001-DPGP007,DTW-K1-001-DPGP003,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP003
400,A_Gene220,DTW-K1-001-DPGP004,DTW-K1-001-DPGP014,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
401,B_Gene231,DTW-K1-001-DPGP015,DTW-K1-001-DPGP018,DTW-K1-001-DPGP004,1,
402,A_Gene402,DTW-K1-001-DPGP012,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,2,DTW-K1-001-DPGP016
403,B_Gene83,DTW-K1-001-DPGP016,DTW-K1-001-DPGP019,DTW-K1-001-DPGP002,1,
404,A_Gene234,DTW-K1-001-DPGP007,DTW-K1-001-DPGP007,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP007
405,B_Gene266,DTW-K1-001-DPGP019,DTW-K1-001-DPGP010,DTW-K1-001-DPGP001,1,
406,A_Gene396,DTW-K1-001-DPGP002,DTW-K1-001-DPGP009,DTW-K1-001-DPGP015,1,
407,B_Gene47,DTW-K1-001-DPGP006,DTW-K1-001-DPGP018,DTW-K1-001-DPGP020,1,
408,A_Gene171,DTW-K1-001-DPGP017,DTW-K1-001-DPGP005,DTW-K1-001-DPGP004,1,
409,A_Gene308,DTW-K1-001-DPGP016,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,1,
410,B_Gene215,DTW-K1-001-DPGP009,DTW-K1-001-DPGP004,DTW-K1-001-DPGP016,1,
